id,category,image_context,prompt
16727,Education,schematic diagram of a simple electrical circuit,Create a quiz question based on the information in this circuit diagram.
16728,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Find the date and total amount in this handwritten note. Return only these two values.
16729,Culinary/Food,top-down photo of avocado toast with poached eggs,Write a mouth-watering instagram caption for this photo of avocado toast.
16730,Nature/Biology,photo of a spider web with dew drops,Identify this spider web. Is it poisonous or dangerous? Provide a scientific classification.
16731,Home/DIY,photo of a cracked window pane,How would you clean this broken window without damaging the material?
16732,OCR/Extraction,photo of a concert ticket with QR code,Find the date and total amount in this event ticket. Return only these two values.
16733,Creative Writing,photo of a large oak tree in a park,Describe this oak tree using only metaphors and similes.
16734,Coding,screenshot of a user profile card with avatar and bio,Act as a frontend developer. Convert this profile card screenshot into production-ready {tech_stack}.
16735,Fashion/Style,photo of aviator sunglasses on a table,Identify the style and era of this sunglasses. Where could I buy something similar today?
16736,Creative Writing,close-up macro photo of a red mushroom in the forest,Describe this wild mushroom using only metaphors and similes.
16737,Coding,screenshot of a responsive top navigation bar with dropdown menus,Act as a frontend developer. Convert this navbar screenshot into production-ready {tech_stack}.
16738,Education,diagram of the planets orbiting the sun,Create a quiz question based on the information in this solar system model.
16739,Data Analysis,image of a sales funnel conversion chart,Analyze this funnel chart. Summarize the key trend for a business executive.
16740,Coding,screenshot of a minimal login form with email and password fields,Identify the UI components in this login screen and list them as a JSON array for a design system.
16741,Coding,screenshot of a minimal login form with email and password fields,Act as a frontend developer. Convert this login screen screenshot into production-ready {tech_stack}.
16742,Creative Writing,photo of a small green frog on a lily pad,Describe this frog using only metaphors and similes.
16743,Education,image of the periodic table of elements,Create a quiz question based on the information in this periodic table.
16744,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Convert the data shown in this bar chart into a CSV format.
16745,Travel/Landmarks,photo of white houses with blue domes in Santorini,Translate the signage visible in this photo of Santorini into German and explain the cultural context.
16746,Coding,screenshot of a drag-and-drop kanban board with tasks,Act as a frontend developer. Convert this kanban board screenshot into production-ready {tech_stack}.
16747,Education,scan of a piano sheet music page,Solve the problem shown in this sheet music. Show your work step-by-step.
16748,Nature/Biology,photo of a saguaro cactus in the desert,Identify this cactus. Is it poisonous or dangerous? Provide a scientific classification.
16749,Fashion/Style,photo of a brown leather vintage handbag,Is this vintage handbag appropriate for a business casual office environment?
16750,Data Analysis,image of a spider/radar chart comparing skill sets,Analyze this radar chart. Summarize the key trend for a business executive.
16751,Travel/Landmarks,photo of white houses with blue domes in Santorini,Identify this landmark: Santorini. Provide a 3-day itinerary for a trip here.
16752,Coding,screenshot of a modal window with toggle switches for privacy settings,Act as a frontend developer. Convert this settings modal screenshot into production-ready {tech_stack}.
16753,Nature/Biology,photo of a monarch butterfly on a flower,Identify this butterfly. Is it poisonous or dangerous? Provide a scientific classification.
16754,Culinary/Food,photo of a gourmet burger with fries,Write a mouth-watering instagram caption for this photo of burger.
16755,Creative Writing,photo of a spider web with dew drops,Describe this spider web using only metaphors and similes.
16756,Fashion/Style,photo of a black leather biker jacket,Identify the style and era of this leather jacket. Where could I buy something similar today?
16757,Fashion/Style,photo of a stylish felt fedora hat,Identify the style and era of this fedora hat. Where could I buy something similar today?
16758,Culinary/Food,photo of a fancy cocktail with a garnish on a bar counter,I have these ingredients shown in the cocktail image. What spice should I add to elevate the flavor?
16759,Home/DIY,photo of a disorganized bookshelf filled with old books,Look at this messy bookshelf. What tools would I likely need to fix or restore it?
16760,Fashion/Style,side-profile photo of limited edition colorful sneakers,Act as a stylist. Look at this sneakers. What accessories would you pair with this for a formal event?
16761,Travel/Landmarks,photo of the Colosseum in Rome,What is the best time of year to visit Colosseum to take a photo like this?
16762,Creative Writing,photo of a conch shell on the beach,Describe this seashell using only metaphors and similes.
16763,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
16764,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Write a mouth-watering instagram caption for this photo of ramen bowl.
16765,Coding,screenshot of a weather widget showing temperature and forecast,Act as a frontend developer. Convert this weather widget screenshot into production-ready {tech_stack}.
16766,Education,diagram showing a chemical equation,Create a quiz question based on the information in this chemical reaction.
16767,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,Translate the signage visible in this photo of Kyoto Shrine into Italian and explain the cultural context.
16768,Home/DIY,photo of a kitchen faucet dripping water,Identify the style of this leaky faucet. Suggest a color palette for a room that features this piece.
16769,Fashion/Style,photo of a stylish felt fedora hat,Identify the style and era of this fedora hat. Where could I buy something similar today?
16770,Nature/Biology,photo of a spider web with dew drops,Identify this spider web. Is it poisonous or dangerous? Provide a scientific classification.
16771,Home/DIY,photo of a kitchen faucet dripping water,Identify the style of this leaky faucet. Suggest a color palette for a room that features this piece.
16772,Culinary/Food,photo of a flaky croissant on a bakery shelf,Identify the dish in this image of croissant. Estimate the calories and suggest a {dietary_restriction} alternative.
16773,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,Translate the signage visible in this photo of Kyoto Shrine into Portuguese and explain the cultural context.
16774,Fashion/Style,photo of black leggings/yoga pants,Act as a stylist. Look at this yoga pants. What accessories would you pair with this for a formal event?
16775,Fashion/Style,photo of a beige wool trench coat,Act as a stylist. Look at this winter coat. What accessories would you pair with this for a formal event?
16776,Data Analysis,image of a color-coded correlation matrix heatmap,Convert the data shown in this heatmap into a CSV format.
16777,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Create a quiz question based on the information in this water cycle diagram.
16778,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
16779,Fashion/Style,side-profile photo of limited edition colorful sneakers,Act as a stylist. Look at this sneakers. What accessories would you pair with this for a formal event?
16780,Coding,screenshot of a music player UI with album art and controls,Identify the UI components in this music player and list them as a JSON array for a design system.
16781,Coding,screenshot of a user profile card with avatar and bio,Identify the UI components in this profile card and list them as a JSON array for a design system.
16782,Nature/Biology,photo of a large oak tree in a park,Describe the habitat where you would typically find this oak tree.
16783,Education,diagram showing a chemical equation,Act as a tutor. Explain the concept shown in this chemical reaction to a tourist.
16784,Home/DIY,photo of various blue paint swatches on a wall,Look at this wall paint swatches. What tools would I likely need to fix or restore it?
16785,Creative Writing,photo of the Treasury at Petra carved into rock,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Petra.
16786,Education,image of the periodic table of elements,Solve the problem shown in this periodic table. Show your work step-by-step.
16787,Home/DIY,photo of a coffee stain on a beige carpet,Identify the style of this stained carpet. Suggest a color palette for a room that features this piece.
16788,Culinary/Food,photo of a flaky croissant on a bakery shelf,Write a mouth-watering instagram caption for this photo of croissant.
16789,Travel/Landmarks,photo of Mount Fuji with snow cap,Translate the signage visible in this photo of Mount Fuji into Chinese and explain the cultural context.
16790,Culinary/Food,photo of a fancy cocktail with a garnish on a bar counter,I have these ingredients shown in the cocktail image. What spice should I add to elevate the flavor?
16791,OCR/Extraction,photo of a crumpled thermal receipt from a supermarket,Extract the text from this grocery receipt and return it as {output_format}.
16792,Coding,screenshot of a minimal login form with email and password fields,Identify the UI components in this login screen and list them as a JSON array for a design system.
16793,Nature/Biology,underwater photo of colorful coral,Describe the habitat where you would typically find this coral reef.
16794,Education,diagram of the human skeletal system,Act as a tutor. Explain the concept shown in this human skeleton to a tourist.
16795,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Identify the style and era of this wristwatch. Where could I buy something similar today?
16796,Culinary/Food,photo of a flaky croissant on a bakery shelf,I have these ingredients shown in the croissant image. What spice should I add to elevate the flavor?
16797,Creative Writing,underwater photo of colorful coral,Describe this coral reef using only metaphors and similes.
16798,Education,chart showing nutritional food groups,Create a quiz question based on the information in this food pyramid.
16799,Creative Writing,close-up macro photo of a red mushroom in the forest,Describe this wild mushroom using only metaphors and similes.
16800,Fashion/Style,photo of a brown leather vintage handbag,Is this vintage handbag appropriate for a business casual office environment?
16801,Travel/Landmarks,photo of the Pyramids of Giza in the desert,What is the best time of year to visit Pyramids of Giza to take a photo like this?
16802,Home/DIY,photo of a cracked window pane,Look at this broken window. What tools would I likely need to fix or restore it?
16803,Home/DIY,photo of a coffee stain on a beige carpet,How would you clean this stained carpet without damaging the material?
16804,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,I have these ingredients shown in the ramen bowl image. What spice should I add to elevate the flavor?
16805,Creative Writing,wide-angle photo of the Grand Canyon at sunset,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Grand Canyon.
16806,Nature/Biology,night sky photo showing the Orion constellation,Describe the habitat where you would typically find this constellation.
16807,Creative Writing,photo of a small green frog on a lily pad,Describe this frog using only metaphors and similes.
16808,Culinary/Food,photo of a grilled salmon fillet with asparagus,Write a mouth-watering instagram caption for this photo of grilled salmon.
16809,Culinary/Food,photo of a fresh fruit salad with melon and berries,Identify the dish in this image of fruit salad. Estimate the calories and suggest a {dietary_restriction} alternative.
16810,Fashion/Style,photo of a mannequin wearing a floral summer dress,Is this summer floral dress appropriate for a business casual office environment?
16811,Education,diagram showing a chemical equation,Solve the problem shown in this chemical reaction. Show your work step-by-step.
16812,Data Analysis,image of a project timeline gantt chart,Analyze this gantt chart. Summarize the key trend for a business executive.
16813,Travel/Landmarks,photo of Machu Picchu ruins in the Andes,What is the best time of year to visit Machu Picchu to take a photo like this?
16814,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Find the date and total amount in this medical invoice. Return only these two values.
16815,Coding,screenshot of a music player UI with album art and controls,Act as a frontend developer. Convert this music player screenshot into production-ready {tech_stack}.
16816,Education,schematic diagram of a simple electrical circuit,Act as a tutor. Explain the concept shown in this circuit diagram to a developer.
16817,Creative Writing,photo of the Golden Gate Bridge in fog,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Golden Gate Bridge.
16818,Fashion/Style,photo of a charcoal grey men's suit,Act as a stylist. Look at this formal suit. What accessories would you pair with this for a formal event?
16819,Coding,screenshot of a scientific calculator interface,Act as a frontend developer. Convert this calculator app screenshot into production-ready {tech_stack}.
16820,Creative Writing,wide-angle photo of the Grand Canyon at sunset,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Grand Canyon.
16821,Fashion/Style,side-profile photo of limited edition colorful sneakers,Identify the style and era of this sneakers. Where could I buy something similar today?
16822,Home/DIY,photo of a cordless power drill,How would you clean this power drill without damaging the material?
16823,Home/DIY,photo of various blue paint swatches on a wall,Look at this wall paint swatches. What tools would I likely need to fix or restore it?
16824,Travel/Landmarks,photo of the Golden Gate Bridge in fog,Translate the signage visible in this photo of Golden Gate Bridge into Chinese and explain the cultural context.
16825,Education,diagram explaining the process of photosynthesis,Create a quiz question based on the information in this photosynthesis.
16826,Creative Writing,photo of the Eiffel Tower in Paris against a blue sky,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Eiffel Tower.
16827,Home/DIY,photo of a large monstera plant in a ceramic pot,Identify the style of this houseplant. Suggest a color palette for a room that features this piece.
16828,Fashion/Style,photo of red stiletto heels,Identify the style and era of this high heels. Where could I buy something similar today?
16829,Creative Writing,photo of the Pyramids of Giza in the desert,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Pyramids of Giza.
16830,Culinary/Food,photo of a fresh fruit salad with melon and berries,I have these ingredients shown in the fruit salad image. What spice should I add to elevate the flavor?
16831,Home/DIY,photo of a cracked window pane,How would you clean this broken window without damaging the material?
16832,Coding,screenshot of a user profile card with avatar and bio,Identify the UI components in this profile card and list them as a JSON array for a design system.
16833,Creative Writing,photo of a green fern plant,Describe this fern using only metaphors and similes.
16834,Data Analysis,image of a sales funnel conversion chart,Convert the data shown in this funnel chart into a CSV format.
16835,Education,photo of a textbook page showing a triangle with missing angles,Solve the problem shown in this geometry problem. Show your work step-by-step.
16836,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Identify the dish in this image of ramen bowl. Estimate the calories and suggest a {dietary_restriction} alternative.
16837,Home/DIY,photo of a disorganized bookshelf filled with old books,Look at this messy bookshelf. What tools would I likely need to fix or restore it?
16838,Creative Writing,photo of a conch shell on the beach,Describe this seashell using only metaphors and similes.
16839,Fashion/Style,photo of black leggings/yoga pants,Is this yoga pants appropriate for a business casual office environment?
16840,Nature/Biology,photo of a green fern plant,Identify this fern. Is it poisonous or dangerous? Provide a scientific classification.
16841,Creative Writing,photo of Mount Fuji with snow cap,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Mount Fuji.
16842,Culinary/Food,photo of a flaky croissant on a bakery shelf,Write a mouth-watering instagram caption for this photo of croissant.
16843,Fashion/Style,photo of a black leather biker jacket,Act as a stylist. Look at this leather jacket. What accessories would you pair with this for a formal event?
16844,Home/DIY,photo of a digital smart thermostat on a wall,Look at this smart thermostat. What tools would I likely need to fix or restore it?
16845,Travel/Landmarks,photo of the Eiffel Tower in Paris against a blue sky,What is the best time of year to visit Eiffel Tower to take a photo like this?
16846,Nature/Biology,photo of a large oak tree in a park,Identify this oak tree. Is it poisonous or dangerous? Provide a scientific classification.
16847,Home/DIY,photo of a cordless power drill,Identify the style of this power drill. Suggest a color palette for a room that features this piece.
16848,Home/DIY,photo of a brass tiffany-style lamp,Identify the style of this antique lamp. Suggest a color palette for a room that features this piece.
16849,Travel/Landmarks,photo of the Eiffel Tower in Paris against a blue sky,Identify this landmark: Eiffel Tower. Provide a 3-day itinerary for a trip here.
16850,Nature/Biology,macro photo of a colorful beetle on a leaf,Identify this strange insect. Is it poisonous or dangerous? Provide a scientific classification.
16851,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Is this wristwatch appropriate for a business casual office environment?
16852,Culinary/Food,photo of a classic pizza margherita with basil,Write a mouth-watering instagram caption for this photo of pizza margherita.
16853,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
16854,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
16855,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Convert the data shown in this bar chart into a CSV format.
16856,Culinary/Food,photo of a classic pizza margherita with basil,Write a mouth-watering instagram caption for this photo of pizza margherita.
16857,Education,image of an old map of Europe from the 18th century,Solve the problem shown in this historical map. Show your work step-by-step.
16858,Fashion/Style,photo of a brown leather vintage handbag,Act as a stylist. Look at this vintage handbag. What accessories would you pair with this for a formal event?
16859,Fashion/Style,photo of black leggings/yoga pants,Act as a stylist. Look at this yoga pants. What accessories would you pair with this for a formal event?
16860,Education,map showing earth's tectonic plates,Create a quiz question based on the information in this tectonic plates.
16861,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
16862,Fashion/Style,photo of a beige wool trench coat,Act as a stylist. Look at this winter coat. What accessories would you pair with this for a formal event?
16863,Culinary/Food,photo of a flaky croissant on a bakery shelf,I have these ingredients shown in the croissant image. What spice should I add to elevate the flavor?
16864,Fashion/Style,photo of a charcoal grey men's suit,Identify the style and era of this formal suit. Where could I buy something similar today?
16865,Data Analysis,image of a pie chart showing market share,Analyze this pie chart. Summarize the key trend for a business executive.
16866,Nature/Biology,night sky photo showing the Orion constellation,Identify this constellation. Is it poisonous or dangerous? Provide a scientific classification.
16867,Coding,screenshot of a minimal login form with email and password fields,Act as a frontend developer. Convert this login screen screenshot into production-ready {tech_stack}.
16868,Fashion/Style,photo of black leggings/yoga pants,Act as a stylist. Look at this yoga pants. What accessories would you pair with this for a formal event?
16869,Home/DIY,photo of a disorganized bookshelf filled with old books,Look at this messy bookshelf. What tools would I likely need to fix or restore it?
16870,Data Analysis,image of a histogram showing frequency distribution,Analyze this histogram. Summarize the key trend for a business executive.
16871,Coding,screenshot of a modal window with toggle switches for privacy settings,Identify the UI components in this settings modal and list them as a JSON array for a design system.
16872,Coding,screenshot of a user profile card with avatar and bio,Act as a frontend developer. Convert this profile card screenshot into production-ready {tech_stack}.
16873,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
16874,Education,image of a color wheel for art theory,Act as a tutor. Explain the concept shown in this color wheel to an expert.
16875,Fashion/Style,photo of red stiletto heels,Is this high heels appropriate for a business casual office environment?
16876,OCR/Extraction,close-up of a FedEx shipping label with barcode,Find the date and total amount in this shipping label. Return only these two values.
16877,Culinary/Food,close-up photo of a cheesy lasagna fresh out of the oven,Write a mouth-watering instagram caption for this photo of homemade lasagna.
16878,Creative Writing,photo of a green fern plant,Describe this fern using only metaphors and similes.
16879,Education,schematic diagram of a simple electrical circuit,Act as a tutor. Explain the concept shown in this circuit diagram to an expert.
16880,Fashion/Style,photo of a brown leather vintage handbag,Is this vintage handbag appropriate for a business casual office environment?
16881,Education,photo of a textbook page showing a triangle with missing angles,Act as a tutor. Explain the concept shown in this geometry problem to a history buff.
16882,Home/DIY,photo of a rusty garden trowel,Look at this garden tool. What tools would I likely need to fix or restore it?
16883,Fashion/Style,photo of a rugged hiking backpack,Identify the style and era of this backpack. Where could I buy something similar today?
16884,Education,diagram showing a chemical equation,Solve the problem shown in this chemical reaction. Show your work step-by-step.
16885,Fashion/Style,photo of a beige wool trench coat,Identify the style and era of this winter coat. Where could I buy something similar today?
16886,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Find the date and total amount in this medical invoice. Return only these two values.
16887,Fashion/Style,photo of a brown leather vintage handbag,Act as a stylist. Look at this vintage handbag. What accessories would you pair with this for a formal event?
16888,Education,chart showing nutritional food groups,Solve the problem shown in this food pyramid. Show your work step-by-step.
16889,Coding,screenshot of a user profile card with avatar and bio,Act as a frontend developer. Convert this profile card screenshot into production-ready {tech_stack}.
16890,OCR/Extraction,photo of an electricity bill with usage graphs,Extract the text from this utility bill and return it as {output_format}.
16891,Nature/Biology,photo of a mountain goat on a cliff,Describe the habitat where you would typically find this mountain goat.
16892,Coding,screenshot of a user profile card with avatar and bio,Identify the UI components in this profile card and list them as a JSON array for a design system.
16893,Data Analysis,image of a sales funnel conversion chart,Convert the data shown in this funnel chart into a CSV format.
16894,Travel/Landmarks,photo of the Sydney Opera House at night,Identify this landmark: Sydney Opera House. Provide a 3-day itinerary for a trip here.
16895,Home/DIY,photo of a disorganized bookshelf filled with old books,How would you clean this messy bookshelf without damaging the material?
16896,Data Analysis,image of a pie chart showing market share,Analyze this pie chart. Summarize the key trend for a business executive.
16897,Nature/Biology,close-up macro photo of a red mushroom in the forest,Identify this wild mushroom. Is it poisonous or dangerous? Provide a scientific classification.
16898,Home/DIY,photo of a digital smart thermostat on a wall,Look at this smart thermostat. What tools would I likely need to fix or restore it?
16899,Education,map showing earth's tectonic plates,Solve the problem shown in this tectonic plates. Show your work step-by-step.
16900,Creative Writing,photo of cumulonimbus clouds,Describe this cloud formation using only metaphors and similes.
16901,Education,photo of a textbook page showing a triangle with missing angles,Solve the problem shown in this geometry problem. Show your work step-by-step.
16902,Data Analysis,image of a pie chart showing market share,Convert the data shown in this pie chart into a CSV format.
16903,Nature/Biology,photo of a blooming yellow rose in a garden,Describe the habitat where you would typically find this garden flower.
16904,Creative Writing,photo of the Great Wall winding through mountains,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Great Wall of China.
16905,Fashion/Style,photo of aviator sunglasses on a table,Identify the style and era of this sunglasses. Where could I buy something similar today?
16906,Nature/Biology,photo of a monarch butterfly on a flower,Describe the habitat where you would typically find this butterfly.
16907,OCR/Extraction,scan of a passport data page (synthetic/redacted),Extract the text from this passport and return it as {output_format}.
16908,Nature/Biology,photo of a blooming yellow rose in a garden,Identify this garden flower. Is it poisonous or dangerous? Provide a scientific classification.
16909,Home/DIY,photo of a white shaker-style kitchen cabinet,Look at this kitchen cabinet. What tools would I likely need to fix or restore it?
16910,Data Analysis,image of a histogram showing frequency distribution,Convert the data shown in this histogram into a CSV format.
16911,Home/DIY,photo of a cordless power drill,How would you clean this power drill without damaging the material?
16912,OCR/Extraction,photo of a crumpled thermal receipt from a supermarket,Find the date and total amount in this grocery receipt. Return only these two values.
16913,Home/DIY,photo of a coffee stain on a beige carpet,Look at this stained carpet. What tools would I likely need to fix or restore it?
16914,Culinary/Food,photo of a fancy cocktail with a garnish on a bar counter,Write a mouth-watering instagram caption for this photo of cocktail.
16915,Education,diagram of the human skeletal system,Create a quiz question based on the information in this human skeleton.
16916,Home/DIY,photo of a digital smart thermostat on a wall,Look at this smart thermostat. What tools would I likely need to fix or restore it?
16917,Coding,screenshot of a dark-mode analytics widget showing user retention stats,Identify the UI components in this dashboard widget and list them as a JSON array for a design system.
16918,OCR/Extraction,photo of a concert ticket with QR code,Find the date and total amount in this event ticket. Return only these two values.
16919,OCR/Extraction,image of a professional resume/CV,Extract the text from this resume and return it as {output_format}.
16920,Creative Writing,photo of the Sydney Opera House at night,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Sydney Opera House.
16921,Fashion/Style,photo of a knitted wool scarf,Is this scarf appropriate for a business casual office environment?
16922,Nature/Biology,photo of a blue jay perched on a tree branch,Identify this bird. Is it poisonous or dangerous? Provide a scientific classification.
16923,Culinary/Food,photo of three street tacos with salsa and lime,I have these ingredients shown in the tacos image. What spice should I add to elevate the flavor?
16924,Creative Writing,photo of a blooming yellow rose in a garden,Describe this garden flower using only metaphors and similes.
16925,Travel/Landmarks,photo of the Colosseum in Rome,Translate the signage visible in this photo of Colosseum into Russian and explain the cultural context.
16926,Education,diagram of the planets orbiting the sun,Act as a tutor. Explain the concept shown in this solar system model to a history buff.
16927,Coding,screenshot of a music player UI with album art and controls,Identify the UI components in this music player and list them as a JSON array for a design system.
16928,Data Analysis,image of a histogram showing frequency distribution,Analyze this histogram. Summarize the key trend for a business executive.
16929,OCR/Extraction,photo of an electricity bill with usage graphs,Extract the text from this utility bill and return it as {output_format}.
16930,Nature/Biology,photo of a large oak tree in a park,Describe the habitat where you would typically find this oak tree.
16931,OCR/Extraction,photo of a concert ticket with QR code,Find the date and total amount in this event ticket. Return only these two values.
16932,Home/DIY,photo of a kitchen faucet dripping water,How would you clean this leaky faucet without damaging the material?
16933,Fashion/Style,photo of aviator sunglasses on a table,Act as a stylist. Look at this sunglasses. What accessories would you pair with this for a formal event?
16934,OCR/Extraction,photo of a crumpled thermal receipt from a supermarket,Find the date and total amount in this grocery receipt. Return only these two values.
16935,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Convert the data shown in this bar chart into a CSV format.
16936,Home/DIY,photo of a wooden mid-century modern chair,How would you clean this mid-century chair without damaging the material?
16937,OCR/Extraction,photo of a concert ticket with QR code,Extract the text from this event ticket and return it as {output_format}.
16938,Home/DIY,photo of a brass tiffany-style lamp,Look at this antique lamp. What tools would I likely need to fix or restore it?
16939,Home/DIY,photo of a brass tiffany-style lamp,Look at this antique lamp. What tools would I likely need to fix or restore it?
16940,OCR/Extraction,photo of a concert ticket with QR code,Find the date and total amount in this event ticket. Return only these two values.
16941,Travel/Landmarks,photo of the Colosseum in Rome,Translate the signage visible in this photo of Colosseum into Arabic and explain the cultural context.
16942,Fashion/Style,photo of aviator sunglasses on a table,Is this sunglasses appropriate for a business casual office environment?
16943,Fashion/Style,photo of a charcoal grey men's suit,Act as a stylist. Look at this formal suit. What accessories would you pair with this for a formal event?
16944,Home/DIY,photo of a cordless power drill,How would you clean this power drill without damaging the material?
16945,Coding,screenshot of a user profile card with avatar and bio,Identify the UI components in this profile card and list them as a JSON array for a design system.
16946,Travel/Landmarks,photo of white houses with blue domes in Santorini,Translate the signage visible in this photo of Santorini into Italian and explain the cultural context.
16947,Nature/Biology,photo of a large oak tree in a park,Describe the habitat where you would typically find this oak tree.
16948,Education,scan of a piano sheet music page,Act as a tutor. Explain the concept shown in this sheet music to a developer.
16949,Nature/Biology,photo of a blooming yellow rose in a garden,Describe the habitat where you would typically find this garden flower.
16950,Education,schematic diagram of a simple electrical circuit,Solve the problem shown in this circuit diagram. Show your work step-by-step.
16951,Home/DIY,photo of a large monstera plant in a ceramic pot,How would you clean this houseplant without damaging the material?
16952,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,I have these ingredients shown in the ramen bowl image. What spice should I add to elevate the flavor?
16953,Home/DIY,photo of hardwood flooring with a scratch,How would you clean this wooden floor without damaging the material?
16954,Home/DIY,photo of a brass tiffany-style lamp,Look at this antique lamp. What tools would I likely need to fix or restore it?
16955,Creative Writing,photo of the Treasury at Petra carved into rock,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Petra.
16956,Home/DIY,photo of hardwood flooring with a scratch,How would you clean this wooden floor without damaging the material?
16957,Education,labeled diagram of an animal cell,Act as a tutor. Explain the concept shown in this cell structure to a senior citizen.
16958,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Write a mouth-watering instagram caption for this photo of ramen bowl.
16959,Travel/Landmarks,photo of the Golden Gate Bridge in fog,Identify this landmark: Golden Gate Bridge. Provide a 3-day itinerary for a trip here.
16960,Nature/Biology,underwater photo of colorful coral,Identify this coral reef. Is it poisonous or dangerous? Provide a scientific classification.
16961,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Write a mouth-watering instagram caption for this photo of ramen bowl.
16962,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Act as a tutor. Explain the concept shown in this water cycle diagram to an expert.
16963,Fashion/Style,side-profile photo of limited edition colorful sneakers,Identify the style and era of this sneakers. Where could I buy something similar today?
16964,Culinary/Food,photo of a fresh fruit salad with melon and berries,I have these ingredients shown in the fruit salad image. What spice should I add to elevate the flavor?
16965,Fashion/Style,photo of a black leather biker jacket,Identify the style and era of this leather jacket. Where could I buy something similar today?
16966,Data Analysis,image of a forex trading chart with indicators,Analyze this candlestick chart. Summarize the key trend for a business executive.
16967,Creative Writing,photo of a spider web with dew drops,Describe this spider web using only metaphors and similes.
16968,OCR/Extraction,photo of a crumpled thermal receipt from a supermarket,Extract the text from this grocery receipt and return it as {output_format}.
16969,Nature/Biology,photo of a blue jay perched on a tree branch,Identify this bird. Is it poisonous or dangerous? Provide a scientific classification.
16970,Data Analysis,image of a sales funnel conversion chart,Convert the data shown in this funnel chart into a CSV format.
16971,Education,scan of a piano sheet music page,Solve the problem shown in this sheet music. Show your work step-by-step.
16972,Creative Writing,photo of the Treasury at Petra carved into rock,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Petra.
16973,Nature/Biology,photo of a saguaro cactus in the desert,Describe the habitat where you would typically find this cactus.
16974,Education,labeled diagram of an animal cell,Create a quiz question based on the information in this cell structure.
16975,Home/DIY,photo of a white shaker-style kitchen cabinet,Look at this kitchen cabinet. What tools would I likely need to fix or restore it?
16976,Fashion/Style,photo of a stylish felt fedora hat,Is this fedora hat appropriate for a business casual office environment?
16977,Home/DIY,photo of a rusty garden trowel,How would you clean this garden tool without damaging the material?
16978,Nature/Biology,macro photo of a colorful beetle on a leaf,Identify this strange insect. Is it poisonous or dangerous? Provide a scientific classification.
16979,Home/DIY,photo of a white shaker-style kitchen cabinet,Look at this kitchen cabinet. What tools would I likely need to fix or restore it?
16980,Travel/Landmarks,photo of the Great Wall winding through mountains,Identify this landmark: Great Wall of China. Provide a 3-day itinerary for a trip here.
16981,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
16982,Education,schematic diagram of a simple electrical circuit,Create a quiz question based on the information in this circuit diagram.
16983,Education,image of the periodic table of elements,Solve the problem shown in this periodic table. Show your work step-by-step.
16984,Education,chart showing nutritional food groups,Act as a tutor. Explain the concept shown in this food pyramid to an expert.
16985,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Is this wristwatch appropriate for a business casual office environment?
16986,Fashion/Style,photo of a rugged hiking backpack,Act as a stylist. Look at this backpack. What accessories would you pair with this for a formal event?
16987,Nature/Biology,photo of a blooming yellow rose in a garden,Describe the habitat where you would typically find this garden flower.
16988,Nature/Biology,photo of cumulonimbus clouds,Describe the habitat where you would typically find this cloud formation.
